seed,region,degradation_mode,degradation_severity,accuracy,balanced_accuracy,macro_f1,weighted_f1,recall_attack,recall_investigation,recall_mount,recall_other,f1_attack,f1_investigation,f1_mount,f1_other,support_attack,support_investigation,support_mount,support_other
11,head_neck_both_mice,clean,0.0,0.7836006637168141,0.7841152597402598,0.7932341865075074,0.7860037988732421,0.722,0.7755,0.788961038961039,0.85,0.7384300690360521,0.7180555555555556,0.8613203367301728,0.8551307847082495,2000,2000,1232,2000
11,head_neck_both_mice,jitter,0.02,0.784983407079646,0.7853652597402597,0.7944777095351356,0.787460358095578,0.7315,0.774,0.788961038961039,0.847,0.7430167597765364,0.7189967487227125,0.8605577689243028,0.8553395607169907,2000,2000,1232,2000
11,head_neck_both_mice,jitter,0.05,0.7853982300884956,0.7848051948051948,0.7946173872859648,0.788220677391211,0.757,0.7615,0.7792207792207793,0.8415,0.7450787401574803,0.7178882865896771,0.8548530721282279,0.8606494502684735,2000,2000,1232,2000
11,head_neck_both_mice,jitter,0.1,0.7714325221238938,0.767426948051948,0.7795111559453441,0.7750250810982333,0.8165,0.697,0.7297077922077922,0.8265,0.7277183600713012,0.7008547008547008,0.8217550274223034,0.8677165354330708,2000,2000,1232,2000
11,head_neck_both_mice,dropout,0.05,0.7834623893805309,0.784224025974026,0.7933564279683848,0.7858973474610496,0.718,0.7775,0.7913961038961039,0.85,0.7371663244353183,0.7177475190399262,0.8635961027457927,0.8549157656525019,2000,2000,1232,2000
11,head_neck_both_mice,dropout,0.15,0.7809734513274337,0.781974025974026,0.7913192350492633,0.7835218075054885,0.709,0.776,0.7913961038961039,0.8515,0.733195449844881,0.7124168005508378,0.8647450110864745,0.8549196787148594,2000,2000,1232,2000
11,head_neck_both_mice,dropout,0.3,0.7746128318584071,0.7763798701298702,0.7855839298467131,0.7771520102107425,0.68,0.779,0.7930194805194806,0.8535,0.718816067653277,0.7041807909604519,0.8649845064187693,0.8543543543543544,2000,2000,1232,2000
11,head_neck_both_mice,temporal_subsample,2.0,0.7858130530973452,0.786349025974026,0.7955931562941936,0.788412201767455,0.7355,0.772,0.7913961038961039,0.8465,0.744621614781068,0.7179725645198791,0.8632138114209827,0.8565646344548444,2000,2000,1232,2000
11,head_neck_both_mice,temporal_subsample,3.0,0.7862278761061947,0.7868798701298702,0.7969941567808857,0.789365508859499,0.744,0.7665,0.7930194805194806,0.844,0.7496221662468514,0.7107093184979137,0.868830591373944,0.8588145510048334,2000,2000,1232,2000
11,head_neck_both_mice,temporal_subsample,5.0,0.7822179203539823,0.783176948051948,0.7935960041771137,0.7857418925263058,0.75,0.755,0.7922077922077922,0.8355,0.7457121551081283,0.7026523964634713,0.8675555555555555,0.8584639095812998,2000,2000,1232,2000
